City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
539,Lobao,PT,70.02,overcast clouds,40.9866,-8.4857,Casa do Campo
540,Halifax,CA,64.35,overcast clouds,44.6453,-63.5724,Hotel Halifax
541,Aquidauana,BR,74.32,overcast clouds,-20.4711,-55.7872,HOTEL ARARAS
542,Kenora,CA,60.78,broken clouds,49.8167,-94.4337,Maynard Lake Lodge
544,Bambanglipuro,ID,76.35,overcast clouds,-7.95,110.2833,Puri Brata
545,Rocha,UY,60.4,overcast clouds,-34.4833,-54.3333,Beleza Pura B&B
546,Kaduqli,SD,79.48,overcast clouds,11.0167,29.7167,فندق الله جابو
547,Portland,US,60.46,broken clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
548,Makhinjauri,GE,62.46,broken clouds,41.6739,41.694,Golden Anchor
549,Quang Ngai,VN,76.05,overcast clouds,15.1167,108.8,Central Hotel
550,Isla Vista,US,87.67,clear sky,34.4133,-119.861,Best Western Plus South Coast Inn
552,Teguise,ES,70.02,few clouds,29.0605,-13.564,B&B La Casona de Nazaret
554,Springhill,US,89.85,clear sky,33.006,-93.4668,Holiday Motel
556,Erzin,TR,73.99,clear sky,36.9559,36.2,Artemis Otel
559,Palembang,ID,75.67,broken clouds,-2.9167,104.7458,ASTON Palembang Hotel & Conference Center
